2026-07-09 07:05:08,461 | INFO | enrich_content_tags | untagged files queued: 100 (model=qwen3.5:9b, dry_run=False)
2026-07-09 07:05:08,463 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/19 JAN - 6 PM/03 MAIN PYASA TERE DARSHAN KA.json (chars=67470, est_tokens=16867, strategy=single-pass)
2026-07-09 07:05:21,652 | ERROR | enrich_content_tags | Dagshai 2001/01 JAN - 2001/19 JAN - 6 PM/03 MAIN PYASA TERE DARSHAN KA.json: tagging failed (missing required keys: ['event_type', 'primary_language', 'topics', 'people_named', 'places_named', 'scriptures_referenced', 'timing_clues', 'location_clues', 'summary_hindi', 'summary_english']; unexpected keys: ['error']) — dead-letter dead_letter/tag_failures/Dagshai_2001_01_JAN_-_2001_19_JAN_-_6_PM_03_MAIN_PYASA_TERE_DARSHAN_KA.json.ab98064e89f2.txt
2026-07-09 07:05:21,653 | ERROR | enrich_content_tags | [1/100] Dagshai 2001/01 JAN - 2001/19 JAN - 6 PM/03 MAIN PYASA TERE DARSHAN KA.json: missing required keys: ['event_type', 'primary_language', 'topics', 'people_named', 'places_named', 'scriptures_referenced', 'timing_clues', 'location_clues', 'summary_hindi', 'summary_english']; unexpected keys: ['error']
2026-07-09 07:05:21,655 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/30 JAN - 630 PM/06 SAMBODHAN.json (chars=2333, est_tokens=583, strategy=single-pass)
2026-07-09 07:05:25,754 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/30 JAN - 630 PM/06 SAMBODHAN.json: tagged in 4.1s (event_type=meditation, lang=hindi, topics=['meditation', 'self-discipline', 'spiritual-opportunity', 'inner-focus', 'satsang'])
2026-07-09 07:05:25,755 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/31 JAN - 630 PM/01 OM GURUVE NAMAH.json (chars=818, est_tokens=204, strategy=single-pass)
2026-07-09 07:05:27,756 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/31 JAN - 630 PM/01 OM GURUVE NAMAH.json: tagged in 2.0s (event_type=bhajan, lang=hindi, topics=['devotion', 'chanting', 'guru-bhakti'])
2026-07-09 07:05:27,757 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/31 JAN - 630 PM/02 DEEDAR KE PYASE HAIN HUM.json (chars=13346, est_tokens=3336, strategy=single-pass)
2026-07-09 07:06:26,526 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/31 JAN - 630 PM/02 DEEDAR KE PYASE HAIN HUM.json: tagged in 6.7s (event_type=bhajan, lang=hindi, topics=['bhakti', 'surrender', 'devotion', 'self-inquiry', 'spiritual-strength'])
2026-07-09 07:06:26,527 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/9 JAN - 6 PM/01 OM GURUVE NAMAH.json (chars=5536, est_tokens=1384, strategy=single-pass)
2026-07-09 07:05:37,867 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/9 JAN - 6 PM/01 OM GURUVE NAMAH.json: tagged in 3.4s (event_type=bhajan, lang=hindi, topics=['guru-bhakti', 'divine-love', 'meditation', 'spiritual-practice', 'inner-purity'])
2026-07-09 07:05:37,868 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/9 JAN - 6 PM/02 SAMBODHAN.json (chars=2452, est_tokens=613, strategy=single-pass)
2026-07-09 07:05:42,579 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/9 JAN - 6 PM/02 SAMBODHAN.json: tagged in 4.7s (event_type=discourse, lang=hindi, topics=['satsang', 'service', 'meditation', 'patience', 'devotion'])
2026-07-09 07:05:42,581 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/DAGSHAI 15 - 19 JAN 2001/16 JAN - 1$ - 8 AM/01 MEDITATION.json (chars=2657, est_tokens=664, strategy=single-pass)
2026-07-09 07:05:45,761 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/DAGSHAI 15 - 19 JAN 2001/16 JAN - 1$ - 8 AM/01 MEDITATION.json: tagged in 3.2s (event_type=meditation, lang=mixed, topics=['meditation', 'self-inquiry', 'awareness', 'silence', 'spiritual-practice'])
2026-07-09 07:05:45,762 | INFO | enrich_content_tags | tagging Dagshai 2001/01 JAN - 2001/DAGSHAI 15 - 19 JAN 2001/16 JAN - 1$ - 8 AM/02 OM GURUVE NAMAH.json (chars=2004, est_tokens=501, strategy=single-pass)
2026-07-09 07:05:49,090 | INFO | enrich_content_tags | Dagshai 2001/01 JAN - 2001/DAGSHAI 15 - 19 JAN 2001/16 JAN - 1$ - 8 AM/02 OM GURUVE NAMAH.json: tagged in 3.3s (event_type=meditation, lang=mixed, topics=['meditation', 'mantra-chanting', 'relaxation', 'self-inquiry', 'bhakti'])
